"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"Costco Wholesale","Victor","Curtis","3150 Fostoria Way","Danville","CA","94526","A+","Male","Senior VP","9252771610","73-438-4475","250 to 499","$50-100 Million","(925) 277-0407","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","5101 Business Center Dr","Fairfield","CA","94534","A+","Male","Senior VP","7078646918","39-334-6259","100 to 249","$20-50 Million","(707) 864-3816","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","1001 Metro Center Blvd","Foster City","CA","94404","A+","Male","Senior VP","4253136922","73-441-5989","250 to 499","$50-100 Million","(650) 286-0739","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","43621 Pacific Commons Blvd","Fremont","CA","94538","A+","Male","Senior VP","5108971113","26-671-0896","250 to 499","$50-100 Million","(510) 897-1092","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","7251 Camino Arroyo","Gilroy","CA","95020","A+","Male","Senior VP","4088480720","36-691-2616","100 to 249","$50-100 Million","(408) 848-0700","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","28505 Hesperian Blvd","Hayward","CA","94545","A","Male","Senior VP","5109213130","40-230-4506","100 to 249","$20-50 Million","(510) 921-3128","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Dennis","Hoover","2800 Independence Dr","Livermore","CA","94551","A+","Male","Senior VP","9254436057","40-230-8249","100 to 249","$20-50 Million","(925) 443-6306","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","1000 N Rengstorff Ave","Mountain View","CA","94043","A+","Male","Senior VP","6509881164","73-433-3148","100 to 249","$50-100 Million","(650) 988-1841","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Art","Salas","300 Vintage Way","Novato","CA","94945","B+","Male","Vice President","4253136595","40-230-8419","1 to 4","$500,000-1 Million","(415) 899-1332","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","2300 Middlefield Rd","Redwood City","CA","94063","A+","Male","Senior VP","6505684044","45-507-3841","250 to 499","$50-100 Million","(650) 568-4040","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","4801 Central Ave","Richmond","CA","94804","A+","Male","Senior VP","5108982005","49-723-3601","50 to 99","$5-10 Million","(510) 898-2003","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","5901 Redwood Dr","Rohnert Park","CA","94928","A+","Male","Senior VP","7075409130","24-715-3760","20 to 49","$5-10 Million","(707) 540-9113","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Beth","Monroe","1600 El Camino Real","South San Francisco","CA","94080","A+","Female","Manager","6507573005","23-912-2435","100 to 249","$20-50 Million","(650) 757-3003","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","451 S Airport Blvd","South San Francisco","CA","94080","A+","Male","Senior VP","6508719762","70-013-7899","100 to 249","$20-50 Million","(650) 872-2021","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Art","Salas","450 10th St","San Francisco","CA","94103","A+","Male","Vice President","4156264599","49-947-4856","250 to 499","$50-100 Million","(415) 626-4388","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","1709 Automation Pkwy","San Jose","CA","95131","A","Male","Senior VP","4086782154","66-637-4095","250 to 499","$50-100 Million","(408) 678-2150","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","2201 Senter Rd","San Jose","CA","95112","A+","Male","Senior VP","4082750790","73-436-5192","250 to 499","$50-100 Million","(408) 275-0199","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","5301 Almaden Expy","San Jose","CA","95118","A+","Male","Senior VP","4087230837","46-929-7279","100 to 249","$50-100 Million","(408) 723-0964","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Andreas","Paden","6898 Raleigh Rd","San Jose","CA","95119","A","Male","Site Manager","","72-549-9585","250 to 499","$50-100 Million","(408) 908-7929","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Art","Salas","1900 Davis St","San Leandro","CA","94577","A+","Male","Vice President","5105626561","54-956-1710","250 to 499","$50-100 Million","(510) 562-6708","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","1601 Coleman Ave","Santa Clara","CA","95050","A+","Male","Senior VP","4253136595","46-927-3494","100 to 249","$50-100 Million","(408) 567-9000","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Art","Salas","1900 Santa Rosa Ave","Santa Rosa","CA","95407","B+","Male","Vice President","7075666422","70-013-7921","1 to 4","$500,000-1 Million","(707) 578-3775","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","150 Lawrence Station Rd","Sunnyvale","CA","94086","A+","Male","Senior VP","4084708006","49-719-4274","250 to 499","$50-100 Million","(408) 730-1892","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","1051 Hume Way","Vacaville","CA","95687","A+","Male","Senior VP","7074537360","36-862-2403","250 to 499","$50-100 Million","(707) 453-7343","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","198 Plaza Dr","Vallejo","CA","94591","A+","Male","Senior VP","7075536414","40-399-8669","250 to 499","$50-100 Million","(707) 553-6400","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Country Sun Natural Foods","Elena","Silverman","440 California Ave","Palo Alto","CA","94306","A","Female","Manager","6503210995","40-474-2512","10 to 19","$2.5-5 Million","(650) 324-9190","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cunha's Country Store","Mark","Ahoury","448 Main St","Half Moon Bay","CA","94019","A","Male","Manager","6507267718","83-429-4316","20 to 49","$5-10 Million","(650) 726-4071","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Dai Thanh Supermarket","","","420 S 2nd St","San Jose","CA","95113","A","","","","83-020-7932","20 to 49","$5-10 Million","(408) 294-1385","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Daiso","Yoko","Tanaka","685 Saratoga Ave # 20","San Jose","CA","95129","B+","Female","Manager","","43-333-9506","10 to 19","$2.5-5 Million","(408) 343-1170","533101","Variety Stores","533101","Variety Stores","Verified"
"Daiso California","Steve","Kamikawa","2202 S Shore Ctr","Alameda","CA","94501","A","Male","Manager","5108147209","43-414-8551","10 to 19","$2.5-5 Million","(510) 814-7206","533101","Variety Stores","533101","Variety Stores","Verified"
"Daiso California","Binh","Giang","5719 Christie Ave","Emeryville","CA","94608","A","Male","Site Manager","","72-130-9204","20 to 49","$2.5-5 Million","(510) 809-3150","533101","Variety Stores","533101","Variety Stores","Verified"
"Damon's Fine Foods","","","1346 The Alameda # 7","San Jose","CA","95126","B","","","","75-608-2556","5 to 9","$1-2.5 Million","(408) 357-4060","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Dave's Market","David","Berry","320 W 3rd St # A","Santa Rosa","CA","95401","B+","Male","Owner","","85-844-4417","5 to 9","$1-2.5 Million","(707) 542-8333","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Diablo Foods Inc","Edwin B","Stokes","3615 MT Diablo Blvd","Lafayette","CA","94549","A","Male","CEO","9252847648","10-418-4783","100 to 249","$5-10 Million","(925) 283-0737","581208","Restaurants","581208","Restaurants","Verified"
"Discount City","Mohammad","Ohirad","1440 Webster St","Alameda","CA","94501","B","Male","Owner","","20-628-7997","5 to 9","$500,000-1 Million","(510) 521-7900","531104","Retail Shops","531104","Retail Shops","Verified"
"Discovery Shops America Cancer","Marilyn","Cheng","1659 Hollenbeck Ave","Sunnyvale","CA","94087","B+","Female","Manager","","52-099-9764","1 to 4","","(408) 737-7707","839938","Donation Centers","839938","Donation Centers","Verified"
"Dollar City","Amam","Jalbani","911 Marina Village Pkwy","Alameda","CA","94501","C","Male","Manager","","41-442-2706","1 to 4","Less Than $500,000","(510) 748-0173","539901","General Merchandise-Retail","539901","General Merchandise-Retail","Verified"
"Dollar General","Bobby","Mcghee","7820 Brentwood Blvd","Brentwood","CA","94513","A","Male","Regional Mgr","9256347462","10-399-8134","10 to 19","$2.5-5 Million","(925) 308-5539","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","","","465 S Cloverdale Blvd","Cloverdale","CA","95425","B+","","","","72-066-2850","5 to 9","$1-2.5 Million","(707) 404-3495","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Pradeep","Yoshi","2317 Blanding Ave # A","Alameda","CA","94501","A","Male","Site Manager","","70-643-1069","10 to 19","$1-2.5 Million","(510) 217-4996","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Connie","Conception","3305 Deer Valley Rd","Antioch","CA","94531","A","Female","Manager","","40-311-7038","10 to 19","$2.5-5 Million","(925) 470-4466","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Larry","Morgan","690 Bailey Rd","Bay Point","CA","94565","A","Male","Site Manager","","40-296-7462","10 to 19","$1-2.5 Million","(925) 232-3021","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","David","Kim","516 El Camino Real","Belmont","CA","94002","A+","Male","Site Manager","6505951196","24-965-1969","20 to 49","$5-10 Million","(650) 801-3481","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","856 Southampton Rd","Benicia","CA","94510","A","","","","42-682-9879","10 to 19","$1-2.5 Million","(707) 741-2076","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1284 San Pablo Ave","Berkeley","CA","94706","A","","","","42-115-7297","10 to 19","$1-2.5 Million","(510) 898-2105","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","3141 Balfour Rd","Brentwood","CA","94513","B+","","","","72-054-2148","10 to 19","$1-2.5 Million","(925) 392-9042","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","51 Sand Creek Rd","Brentwood","CA","94513","A","","","","62-650-7271","10 to 19","$1-2.5 Million","(925) 392-9041","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","150 N San Tomas Aquino Rd","Campbell","CA","95008","A+","","","","37-887-2345","20 to 49","$5-10 Million","(408) 963-2535","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Shauk","Lung","2425 Winchester Blvd","Campbell","CA","95008","A","Female","Site Manager","","39-915-2040","10 to 19","$2.5-5 Million","(408) 963-2537","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","3180 Castro Valley Blvd","Castro Valley","CA","94546","B","","","","74-420-2040","10 to 19","$1-2.5 Million","(510) 921-3810","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Tanya","Campbell","735 Serramonte Blvd","Colma","CA","94014","A","Female","Site Manager","","40-311-7457","20 to 49","$5-10 Million","(415) 570-0053","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Kevin","Sims","1825 Salvio St","Concord","CA","94520","A","Male","Site Manager","","43-509-1895","10 to 19","$2.5-5 Million","(925) 349-3538","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jennifer","Navarrete","2030 Monument Blvd","Concord","CA","94520","B","Female","Other","","74-428-9850","10 to 19","$1-2.5 Million","(925) 349-3565","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Yolanda","Fley","5434 Ygnacio Valley Rd # 200","Concord","CA","94521","A","Female","Site Manager","9256723676","56-285-8704","10 to 19","$1-2.5 Million","(925) 693-9012","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Heather","Kangrga","640 E Cotati Ave # B","Cotati","CA","94931","A","Female","Manager","","43-383-1834","10 to 19","$1-2.5 Million","(707) 992-1045","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Alberto","Jutierrez","2840 Geneva Ave","Daly City","CA","94014","A","Male","Site Manager","","41-603-7363","10 to 19","$2.5-5 Million","(415) 570-0144","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","6232 Mission St","Daly City","CA","94014","B+","","","","71-582-9520","10 to 19","$2.5-5 Million","(415) 570-0090","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Nicole","Lopez","1700 N 1st St # A","Dixon","CA","95620","A","Female","Site Manager","","42-585-4093","10 to 19","$1-2.5 Million","(707) 679-5105","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Cheryl","Kwong","7775 Amador Valley Blvd","Dublin","CA","94568","A","Female","Manager","","39-065-6908","10 to 19","$2.5-5 Million","(925) 361-1066","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Richard","Diasca","3730 San Pablo Dam Rd","El Sobrante","CA","94803","B+","Male","Manager","","71-251-2675","10 to 19","$1-2.5 Million","(510) 854-5020","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Julian","Guzman","2425 N Texas St","Fairfield","CA","94533","A","Male","Regional Mgr","7074252959","20-933-5637","10 to 19","$2.5-5 Million","(707) 639-5086","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","3060 Travis Blvd","Fairfield","CA","94534","B+","","","","71-177-5511","10 to 19","$1-2.5 Million","(707) 639-5087","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Amanda","Sanford","3021 Skyway Ct","Fremont","CA","94539","A","Female","Manager","","72-178-8001","20 to 49","$2.5-5 Million","(510) 897-8268","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Chris","Henderson","4949 Stevenson Blvd # G","Fremont","CA","94538","B+","Male","Site Manager","","42-395-0604","5 to 9","$1-2.5 Million","(510) 897-3090","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Elizabeth","Del Sanramon","1260 1st St","Gilroy","CA","95020","B+","Female","Site Manager","","20-404-3574","5 to 9","$1-2.5 Million","(408) 427-0035","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Anbelle","Garcia","20800 Hesperian Blvd","Hayward","CA","94541","A+","Female","Manager","","50-541-9564","20 to 49","$2.5-5 Million","(510) 921-3038","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Bob","Risser","22487 Foothill Blvd","Hayward","CA","94541","B","Male","Manager","","42-713-6164","1 to 4","$500,000-1 Million","(510) 921-3341","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","26781 Mission Blvd","Hayward","CA","94544","A","","","","71-579-4502","20 to 49","$2.5-5 Million","(510) 921-3058","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Margaret","Lingron","1041 Vine St","Healdsburg","CA","95448","A","Female","Site Manager","","22-321-3885","10 to 19","$2.5-5 Million","(707) 395-2018","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","4502 Las Positas Rd","Livermore","CA","94551","B+","","","","72-384-5266","10 to 19","$1-2.5 Million","(925) 493-4729","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1047 Arnold Dr","Martinez","CA","94553","A","","","","42-243-1493","10 to 19","$1-2.5 Million","(925) 608-8050","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jannet","Leon","1350 S Park #10","Milpitas","CA","95035","A","Female","Site Manager","4089465309","18-113-7290","10 to 19","$2.5-5 Million","(408) 964-5442","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jack","Bessette","251 Ranch Dr","Milpitas","CA","95035","A","Male","Site Manager","","40-079-5336","20 to 49","$5-10 Million","(408) 964-5835","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","542 Center St","Moraga","CA","94556","A","","","","40-479-6488","10 to 19","$1-2.5 Million","(925) 388-2001","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Tiffany","Roa","16975 Monterey St","Morgan Hill","CA","95037","A","Female","General Mgr","","24-578-2784","20 to 49","$5-10 Million","(408) 825-5503","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","199 E Middlefield Rd # 200","Mountain View","CA","94043","B+","","","","42-362-6856","10 to 19","$2.5-5 Million","(650) 386-4494","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Toni","Arden","3230 Jefferson St","Napa","CA","94558","B+","Female","Site Manager","","71-202-0113","10 to 19","$1-2.5 Million","(707) 260-0157","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","35233 Newark Blvd # C","Newark","CA","94560","A","","","","40-335-4826","10 to 19","$1-2.5 Million","(510) 896-6806","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Debrice","Gallo","455 Entrada Dr","Novato","CA","94949","A","Male","Site Manager","","64-662-9972","10 to 19","$2.5-5 Million","(415) 763-4007","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Flor","Hernandez","1818 Park Blvd","Oakland","CA","94606","B","Female","Manager","","74-042-4633","10 to 19","$1-2.5 Million","(510) 907-2366","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","2445 International Blvd","Oakland","CA","94601","A","","","5104340317","73-436-4348","10 to 19","$1-2.5 Million","(510) 395-9000","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Marta","Martinez","787 Hickey Blvd","Pacifica","CA","94044","A","Female","Site Manager","","67-406-7954","10 to 19","$2.5-5 Million","(650) 735-4039","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1351 N Mcdowell Blvd","Petaluma","CA","94954","B+","","","","72-640-7970","10 to 19","$1-2.5 Million","(707) 992-1185","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Saul","Hernandez","40 E Washington St","Petaluma","CA","94952","B+","Male","Site Manager","","42-240-8172","10 to 19","$1-2.5 Million","(707) 658-4152","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1598 Fitzgerald Dr","Pinole","CA","94564","A","","","","37-482-5479","10 to 19","$2.5-5 Million","(510) 854-5024","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Suki","Sidu","2951 Railroad Ave","Pittsburg","CA","94565","A+","Female","Site Manager","9252520537","54-524-5235","20 to 49","$2.5-5 Million","(925) 635-9232","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Latia","Evans","4211 Century Blvd","Pittsburg","CA","94565","B+","Female","Manager","","72-114-4928","10 to 19","$1-2.5 Million","(925) 470-4835","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Angela","Callahan","2318 Monument Blvd","Pleasant Hill","CA","94523","A+","Female","Site Manager","9256918310","48-306-1792","20 to 49","$2.5-5 Million","(925) 349-3563","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","4226 Rosewood Dr","Pleasanton","CA","94588","A","","","","42-528-6944","10 to 19","$1-2.5 Million","(925) 398-2112","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","312 Walnut St","Redwood City","CA","94063","B+","","","","70-530-2790","10 to 19","$1-2.5 Million","(650) 395-6126","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Elaine","Edwards","4675 Redwood Dr","Rohnert Park","CA","94928","A","Female","Site Manager","","57-118-7889","10 to 19","$2.5-5 Million","(707) 540-9844","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Allen","Black","555 El Camino Real","South San Francisco","CA","94080","A","Male","Site Manager","","64-389-9578","50 to 99","$5-10 Million","(650) 745-3136","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Janine","Kemper","1121 Old County Rd","San Carlos","CA","94070","A","Female","Manager","","40-312-1298","20 to 49","$2.5-5 Million","(650) 801-5630","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1054 S White Rd","San Jose","CA","95127","B","","","","74-343-3165","10 to 19","$2.5-5 Million","(408) 904-7994","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Isaac","Gonzales","1178 N Capitol Ave","San Jose","CA","95132","A","Male","Site Manager","","65-465-0076","10 to 19","$2.5-5 Million","(408) 678-3453","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","14406 Union Ave","San Jose","CA","95124","A","","","","66-917-7354","20 to 49","$5-10 Million","(408) 963-2068","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Nihal","Wasi","2155 Tully Rd","San Jose","CA","95122","A","Male","Manager","","40-931-2382","20 to 49","$5-10 Million","(408) 678-4181","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","2222 Business Cir","San Jose","CA","95128","A","","","","70-061-0802","10 to 19","$2.5-5 Million","(669) 212-4078","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Victoria","Izadyar","2585 Almaden Rd","San Jose","CA","95125","B+","Female","Regional Mgr","","42-713-1833","10 to 19","$2.5-5 Million","(408) 826-3256","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Star","Diaz","3065 Meridian Ave","San Jose","CA","95124","A","Female","Site Manager","","70-587-0755","10 to 19","$2.5-5 Million","(408) 826-3896","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","3251 S White Rd # 20","San Jose","CA","95148","B+","","","","73-479-9214","10 to 19","$2.5-5 Million","(408) 826-3250","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jenny","Perez","331 N Capitol Ave # A","San Jose","CA","95133","A","Female","Site Manager","4089260336","73-438-4954","10 to 19","$2.5-5 Million","(408) 678-3452","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jayson","Bierman","5041 Almaden Expy","San Jose","CA","95118","A","Male","Senior VP","","37-837-3104","10 to 19","$2.5-5 Million","(408) 826-0427","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Victoria","Izadyar","5536 Monterey Hwy","San Jose","CA","95138","A","Female","Regional Mgr","","52-636-5663","5 to 9","$1-2.5 Million","(408) 826-0189","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jim","Micelli","5540 Snell Ave","San Jose","CA","95123","A+","Male","Sales Exec","4086297717","59-783-9976","50 to 99","$5-10 Million","(408) 826-3255","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","7128 Santa Teresa Blvd","San Jose","CA","95139","B+","","","","72-147-9036","10 to 19","$2.5-5 Million","(408) 960-7379","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Tom","Hall","916 Story Rd","San Jose","CA","95122","A","Male","Finance Exec","","66-409-6781","20 to 49","$5-10 Million","(669) 212-4077","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","14801 Washington Ave","San Leandro","CA","94578","A","","","","22-588-6837","10 to 19","$2.5-5 Million","(510) 394-9684","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Chris","Staley","16160 E 14th St # A","San Leandro","CA","94578","A","Male","Manager","","56-539-4012","10 to 19","$2.5-5 Million","(510) 921-3801","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Paul","Mc Guire","1933 Davis St # 145","San Leandro","CA","94577","A","Male","Site Manager","","70-009-5507","10 to 19","$1-2.5 Million","(510) 394-9685","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","2415 San Pablo Dam Rd # 250","San Pablo","CA","94806","A","","","5102359898","17-744-3652","10 to 19","$2.5-5 Million","(510) 837-3529","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Vincent","Penallza","825 Francisco Blvd W","San Rafael","CA","94901","A","Male","Manager","","41-539-1213","20 to 49","$5-10 Million","(415) 785-2818","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Jennifer","Sayers","3024 El Camino Real","Santa Clara","CA","95051","A","Female","Manager","","40-397-5422","10 to 19","$2.5-5 Million","(408) 556-4719","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Fern","Lewis","2019 Sebastopol Rd","Santa Rosa","CA","95407","A","Female","Site Manager","","41-641-4525","20 to 49","$5-10 Million","(707) 293-2805","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Toni","Benson","2747 Yulupa Ave","Santa Rosa","CA","95405","A","Female","Site Manager","","40-417-6263","10 to 19","$1-2.5 Million","(707) 293-2631","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Kim","Floyd","3080 Marlow Rd # A11","Santa Rosa","CA","95403","B+","Female","Manager","","70-859-1574","10 to 19","$2.5-5 Million","(707) 293-2488","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Terry","Naughton","3589 Industrial Dr","Santa Rosa","CA","95403","A","Male","Site Manager","","40-437-2743","10 to 19","$1-2.5 Million","(707) 293-2487","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Daniel","Dommer","18615 Sonoma Hwy #103","Sonoma","CA","95476","A","Male","Manager","","67-204-0987","10 to 19","$1-2.5 Million","(707) 931-2543","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","250 Sunset Ave # A","Suisun City","CA","94585","A","","","","68-253-0241","20 to 49","$2.5-5 Million","(707) 639-5088","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Letty","Jaquez","588 E El Camino Real","Sunnyvale","CA","94087","A","Female","Site Manager","","68-458-8486","20 to 49","$5-10 Million","(408) 701-6001","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Cecilia","Macapagal","1720 Decoto Rd","Union City","CA","94587","A+","Female","Site Manager","5104896749","17-791-0494","20 to 49","$2.5-5 Million","(510) 491-2116","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","1010 Helen Power Dr # B","Vacaville","CA","95687","B+","","","","72-027-4826","10 to 19","$1-2.5 Million","(707) 359-3640","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","230 Peabody Rd","Vacaville","CA","95687","A","","","","43-316-5737","10 to 19","$1-2.5 Million","(707) 305-4296","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Debbie","Yourish","3475 Sonoma Blvd # 10","Vallejo","CA","94590","A+","Female","Site Manager","","41-699-8148","20 to 49","$2.5-5 Million","(707) 917-4196","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","Lorraine","Myers","938 Admiral Callaghan Ln","Vallejo","CA","94591","A","Female","Site Manager","","71-691-4403","20 to 49","$2.5-5 Million","(707) 917-4197","533101","Variety Stores","533101","Variety Stores","Verified"
"Draeger's Markets","Corrine","Sauss","4100 Blackhawk Plaza Cir","Danville","CA","94506","A","Female","Manager","","66-884-6934","20 to 49","$10-20 Million","(925) 648-5800","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
